ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Chan-7_tongue-1-1,Chan-7_tongue-1,ada,45,false,expert,Valenzuela2023,,,
Shar-7_tongue-1-1,Shar-7_tongue-1,ana,45,false,expert,Valenzuela2023,,,
ProPa-8_hand-1-1,ProPa-8_hand-1,mɨ,28,false,expert,Valenzuela2023,,,
Ksh-8_hand-1-1,Ksh-8_hand-1,mɨkɨ̃,28,false,expert,Valenzuela2023,,,
SK-8_hand-1-1,SK-8_hand-1,mɨkɨ̃,28,false,expert,Valenzuela2023,,,
Kap-8_hand-1-1,Kap-8_hand-1,mɨkɨn,28,false,expert,Valenzuela2023,,,
Chak-8_hand-1-1,Chak-8_hand-1,mɨkɨnɨ,28,false,expert,Valenzuela2023,,,
Kax-8_hand-1-1,Kax-8_hand-1,mɨkɨlɨ,28,false,expert,Valenzuela2023,,,
Yam-8_hand-1-1,Yam-8_hand-1,mɨkɨ̃,28,false,expert,Valenzuela2023,,,
Chan-8_hand-1-1,Chan-8_hand-1,mɨkɨ,28,false,expert,Valenzuela2023,,,
Shar-8_hand-1-1,Shar-8_hand-1,mɨkɨ,28,false,expert,Valenzuela2023,,,
ProPa-9_night-1-1,ProPa-9_night-1,yamɨt,38,false,expert,Valenzuela2023,,,
Ksh-9_night-1-1,Ksh-9_night-1,imɨ,38,false,expert,Valenzuela2023,,,
SK-9_night-1-1,SK-9_night-1,yamɨ,38,false,expert,Valenzuela2023,,,
Kap-9_night-1-1,Kap-9_night-1,yamɨ,38,false,expert,Valenzuela2023,,,
Mar-9_night-1-1,Mar-9_night-1,yamɨ,38,false,expert,Valenzuela2023,,,
Kax-9_night-1-1,Kax-9_night-1,yamɨta,38,false,expert,Valenzuela2023,,,
Yam-9_night-1-1,Yam-9_night-1,yamɨa,38,false,expert,Valenzuela2023,,,
Chan-9_night-1-1,Chan-9_night-1,yabɨ,38,false,expert,Valenzuela2023,,,
Shar-9_night-1-1,Shar-9_night-1,yamɨ,38,false,expert,Valenzuela2023,,,
ProPa-10_skin-1-1,ProPa-10_skin-1,βitsi,41,false,expert,Valenzuela2023,,,
Ksh-10_skin-1-1,Ksh-10_skin-1,βitʃi,41,false,expert,Valenzuela2023,,,
SK-10_skin-1-1,SK-10_skin-1,βitʃi,41,false,expert,Valenzuela2023,,,
Kap-10_skin-1-1,Kap-10_skin-1,βitʃi,41,false,expert,Valenzuela2023,,,
Mar-10_skin-1-1,Mar-10_skin-1,vitʃi,41,false,expert,Valenzuela2023,,,
Chak-10_skin-1-1,Chak-10_skin-1,βitʃi,41,false,expert,Valenzuela2023,,,
Kax-10_skin-1-1,Kax-10_skin-1,bitʃi,41,false,expert,Valenzuela2023,,,
Chan-10_skin-1-1,Chan-10_skin-1,ɸitʃi,41,false,expert,Valenzuela2023,,,
Shar-10_skin-1-1,Shar-10_skin-1,ɸitʃi,41,false,expert,Valenzuela2023,,,
ProPa-11_fire-1-1,ProPa-11_fire-1,tsiʔi,23,false,expert,Valenzuela2023,,,
Ksh-11_fire-1-1,Ksh-11_fire-1,tʃii,23,false,expert,Valenzuela2023,,,
SK-11_fire-1-1,SK-11_fire-1,tʃii,23,false,expert,Valenzuela2023,,,
Kap-11_fire-1-1,Kap-11_fire-1,tʃiʔi,23,false,expert,Valenzuela2023,,,
