ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Shell,ConceptInSource
Shar-4_liver-1,,Shar,4_liver,taka,taka,t a k a,None,Valenzuela2023,33,,,,( - - ) t a k a,104,Liver
ProPaTa-5_leaftofan-1,,ProPaTa,5_leaftofan,pɨʔi,pɨʔi,p ɨ ʔ i,None,Valenzuela2023,31,,,,( - - ) p ɨ ʔ i,None,Leaf
ProPa-5_leaftofan-1,,ProPa,5_leaftofan,pɨʔi,pɨʔi,p ɨ ʔ i,None,Valenzuela2023,31,,,,( - - ) p ɨ ʔ i,None,Leaf
Ksh-5_leaftofan-1,,Ksh,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
SK-5_leaftofan-1,,SK,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
Kap-5_leaftofan-1,,Kap,5_leaftofan,pɨʔi,pɨʔi,p ɨ ʔ i,None,Valenzuela2023,31,,,,( - - ) p ɨ ʔ i,None,Leaf
Mar-5_leaftofan-1,,Mar,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
Chak-5_leaftofan-1,,Chak,5_leaftofan,pɨʔi,pɨʔi,p ɨ ʔ i,None,Valenzuela2023,31,,,,( - - ) p ɨ ʔ i,None,Leaf
Kax-5_leaftofan-1,,Kax,5_leaftofan,pɨʔi,pɨʔi,p ɨ ʔ i,None,Valenzuela2023,31,,,,( - - ) p ɨ ʔ i,None,Leaf
Yam-5_leaftofan-1,,Yam,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
Chan-5_leaftofan-1,,Chan,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
Shar-5_leaftofan-1,,Shar,5_leaftofan,pɨi,pɨi,p ɨ i,None,Valenzuela2023,31,,,,( - - ) p ɨ - i,None,Leaf
ProPaTa-6_bone-1,,ProPaTa,6_bone,ʂau,ʂau,ʂ a u,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) u,93,Bone
ProPa-6_bone-1,,ProPa,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
Ksh-6_bone-1,,Ksh,6_bone,ʂɔː,ʂɔː,ʂ !ɔː/ɔ,None,Valenzuela2023,5,,,,( - - - ) ʂ !ɔː/ɔ ( - ) -,93,Bone
SK-6_bone-1,,SK,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
Kap-6_bone-1,,Kap,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
Mar-6_bone-1,,Mar,6_bone,ʃau,ʃau,ʃ a u,None,Valenzuela2023,5,,,,( - - - ) ʃ a ( - ) u,93,Bone
Chak-6_bone-1,,Chak,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
Kax-6_bone-1,,Kax,6_bone,ʂahʷu,ʂahʷu,ʂ a hʷ u,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( hʷ ) u,93,Bone
Yam-6_bone-1,,Yam,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
Chan-6_bone-1,,Chan,6_bone,"ʃao,ʂao",ʃao,ʃ a o,None,Valenzuela2023,5,,,,( - - - ) ʃ a ( - ) o,93,Bone
Shar-6_bone-1,,Shar,6_bone,ʂao,ʂao,ʂ a o,None,Valenzuela2023,5,,,,( - - - ) ʂ a ( - ) o,93,Bone
ProPaTa-7_tongue-1,,ProPaTa,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
ProPa-7_tongue-1,,ProPa,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
Ksh-7_tongue-1,,Ksh,7_tongue,ana,ana,a n a,None,Valenzuela2023,43,,,,( - - - ) - a n ( - ) a,46,Tongue
SK-7_tongue-1,,SK,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
Kap-7_tongue-1,,Kap,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
Mar-7_tongue-1,,Mar,7_tongue,ana,ana,a n a,None,Valenzuela2023,43,,,,( - - - ) - a n ( - ) a,46,Tongue
Chak-7_tongue-1,,Chak,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
Kax-7_tongue-1,,Kax,7_tongue,hana,hana,h a n a,None,Valenzuela2023,43,,,,( - - - ) h a n ( - ) a,46,Tongue
Yam-7_tongue-1,,Yam,7_tongue,ana,ana,a n a,None,Valenzuela2023,43,,,,( - - - ) - a n ( - ) a,46,Tongue
Chan-7_tongue-1,,Chan,7_tongue,ada,ada,a d a,None,Valenzuela2023,43,,,,( - - - ) - a d ( - ) a,46,Tongue
Shar-7_tongue-1,,Shar,7_tongue,ana,ana,a n a,None,Valenzuela2023,43,,,,( - - - ) - a n ( - ) a,46,Tongue
ProPaTa-8_hand-1,,ProPaTa,8_hand,mɨ-,mɨ-,m ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( - - - - - - ),70,Hand
ProPa-8_hand-1,,ProPa,8_hand,mɨ-,mɨ-,m ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( - - - - - - ),70,Hand
Ksh-8_hand-1,,Ksh,8_hand,mɨkɨ̃,mɨkɨ̃,m ɨ k ɨ ~,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ ~ - - - ),70,Hand
SK-8_hand-1,,SK,8_hand,mɨkɨ̃,mɨkɨ̃,m ɨ k ɨ ~,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ ~ - - - ),70,Hand
Kap-8_hand-1,,Kap,8_hand,mɨkɨn,mɨkɨn,m ɨ k ɨ n,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ n - - - ),70,Hand
Chak-8_hand-1,,Chak,8_hand,mɨkɨnɨ,mɨkɨnɨ,m ɨ k ɨ n ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ n - ɨ - ),70,Hand
Kax-8_hand-1,,Kax,8_hand,mɨkɨlɨ,mɨkɨlɨ,m ɨ k ɨ l ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ l - ɨ - ),70,Hand
Yam-8_hand-1,,Yam,8_hand,mɨkɨ̃,mɨkɨ̃,m ɨ k ɨ ~,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ ~ - - - ),70,Hand
Chan-8_hand-1,,Chan,8_hand,mɨkɨ,mɨkɨ,m ɨ k ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ - - - - ),70,Hand
Shar-8_hand-1,,Shar,8_hand,mɨkɨ,mɨkɨ,m ɨ k ɨ,None,Valenzuela2023,27,,,,( - - ) m ɨ ( k ɨ - - - - ),70,Hand
ProPaTa-9_night-1,,ProPaTa,9_night,mɨta,mɨta,m ɨ t a,None,Valenzuela2023,37,,,,( - - - ) m ɨ t a ( - - - - - ),71,Night
ProPa-9_night-1,,ProPa,9_night,yamɨtV,yamɨt,j a m ɨ t,None,Valenzuela2023,37,,,,( - j a ) m ɨ t - ( - - - - - ),71,Night
Ksh-9_night-1,,Ksh,9_night,imɨ,imɨ,i m ɨ,None,Valenzuela2023,37,,,,( - - i ) m ɨ - - ( - - - - - ),71,Night
SK-9_night-1,,SK,9_night,yamɨ,yamɨ,j a m ɨ,None,Valenzuela2023,37,,,,( - j a ) m ɨ - - ( - - - - - ),71,Night
Kap-9_night-1,,Kap,9_night,yamɨ,yamɨ,j a m ɨ,None,Valenzuela2023,37,,,,( - j a ) m ɨ - - ( - - - - - ),71,Night
Mar-9_night-1,,Mar,9_night,yamɨ,yamɨ,j a m ɨ,None,Valenzuela2023,37,,,,( - j a ) m ɨ - - ( - - - - - ),71,Night
Kax-9_night-1,,Kax,9_night,yamɨta,yamɨta,j a m ɨ t a,None,Valenzuela2023,37,,,,( - j a ) m ɨ t a ( - - - - - ),71,Night
