TABLE	NuMBER	NUMBER_IN_SOURCE	GLOSS	PROTO_FORM	DOCULECT	VALUE	NOTE
Pano_Lexical_List	82	9	Night	494.*yamɨtV	Yam	yamɨa	
Pano_Lexical_List	83	9	Night	494.*yamɨtV	Chan	yabɨ	
Pano_Lexical_List	84	9	Night	494.*yamɨtV	Shar	yamɨ	
Pano_Lexical_List	85	10	Skin	89.*βitsi	ProPa	βitsi	
Pano_Lexical_List	86	10	Skin	89.*βitsi	Ksh	βitʃi	
Pano_Lexical_List	87	10	Skin	89.*βitsi	SK	βitʃi	
Pano_Lexical_List	88	10	Skin	89.*βitsi	Kap	βitʃi	
Pano_Lexical_List	89	10	Skin	89.*βitsi	Mar	vitʃi	
Pano_Lexical_List	90	10	Skin	89.*βitsi	Chak	βitʃi	
Pano_Lexical_List	91	10	Skin	89.*βitsi	Kax	bitʃi	
Pano_Lexical_List	92	10	Skin	89.*βitsi	Chan	ɸitʃi	
Pano_Lexical_List	93	10	Skin	89.*βitsi	Shar	ɸitʃi	
Pano_Lexical_List	94	11	Fire	125.*tsiʔi	ProPa	tsiʔi	
Pano_Lexical_List	95	11	Fire	125.*tsiʔi	Ksh	tʃii	
Pano_Lexical_List	96	11	Fire	125.*tsiʔi	SK	tʃii	
Pano_Lexical_List	97	11	Fire	125.*tsiʔi	Kap	tʃiʔi	
Pano_Lexical_List	99	11	Fire	125.*tsiʔi	Mar	tʃi	
Pano_Lexical_List	100	11	Fire	125.*tsiʔi	Chak	tʃiʔi	
Pano_Lexical_List	101	11	Fire	125.*tsiʔi	Kax	tʃiʔi	
Pano_Lexical_List	102	11	Fire	125.*tsiʔi	Yam	tʃii	
Pano_Lexical_List	103	11	Fire	125.*tsiʔi	Chan	tʃii	
Pano_Lexical_List	104	11	Fire	125.*tsiʔi	Shar	tʃii	
Pano_Lexical_List	105	12	Knee	359.*rã-	ProPa	rã-	
Pano_Lexical_List	106	12	Knee	359.*rã-	Ksh	rãβoʂo	
Pano_Lexical_List	107	12	Knee	359.*rã-	SK	rãβoʂo	
Pano_Lexical_List	108	12	Knee	359.*rã-	Kap	rãβoʂo	
Pano_Lexical_List	109	12	Knee	359.*rã-	Mar	ravuʃɨ	
Pano_Lexical_List	110	12	Knee	359.*rã-	Kax	tʃãburu	
