ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SUBGROUP	CONCEPTINSOURCE	SHELL
350	Matses	Blood	imi	imi	i m i		4	Panoan	Blood	48
525	Proto-Takana	Blood	ami	ami	a m i		4	Tacanan	Blood	48
526	Tacanan	Blood	ami	ami	a m i		4	Tacanan	Blood	48
527	Reyesano	Blood	ami/ami	ami	a m i		4	Panoan	Blood	48
528	Cavinena	Blood	ami	ami	a m i		4	Tacanan	Blood	48
52	Proto-Pano-Takana	Bone	ʂau	ʂau	ʂ a u		5		Bone	93
53	Proto-Pano	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
54	Kakataibo	Bone	ʂɔː	ʂɔː	ʂ ɔː		5	Panoan	Bone	93
55	ShipiboKonibo	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
56	Kapanawa	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
57	Marubo	Bone	ʃau	ʃau	ʃ a u		5	Panoan	Bone	93
58	Chacobo	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
59	Kaxarari	Bone	ʂahʷu	ʂahʷu	ʂ a hʷ u		5	Panoan	Bone	93
60	Yaminawa	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
61	Chaninawa	Bone	ʃao,ʂao	ʃao	ʃ a o		5	Panoan	Bone	93
62	Sharanawa	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
296	Shanenawa	Bone	ʂaw	ʂaw	ʂ a w	Shell (1975: 174, 398) and Oliveira (2014: 459, 398) reconstruct *ʂao. Kasharari presents the form ʂahu [ʂa'hwu] (Lanes 2005, in Oliveira 2014). For Matses/Mayoruna we consider as evidence the final consonant in mɨ-ʂ‘wrist bone’, taɨ-ʂ‘ankle bone’, and ʂomoʂ‘needle made of bone’ (Fleck et al. 2012).	5	Panoan	Bone	93
297	Katukina	Bone	ʃau	ʃau	ʃ a u		5	Panoan	Bone	93
298	Poyanawa	Bone	haw	haw	h a w		5	Panoan	Bone	93
299	Amawaka	Bone	xao	xao	x a o		5	Panoan	Bone	93
300	Kaxinawa	Bone	ʂau	ʂau	ʂ a u		5	Panoan	Bone	93
301	Marinawa	Bone	ʂao	ʂao	ʂ a o		5	Panoan	Bone	93
302	Yawanawa	Bone	ʃau	ʃau	ʃ a u		5	Panoan	Bone	93
303	Matses	Bone	mɨ-ʂ,taɨ-ʂ,ʂomoʂ	mɨ-ʂ	m ɨ + ʂ	'wrist bone','ankle bone','needle made of bone'	5	Panoan	Bone	93
483	Proto-Takana	Bone	tʂau	tʂau	tʂ a u		5	Tacanan	Bone	93
484	Tacanan	Bone	e-cau	e-cau	e + tʂ a u		5	Tacanan	Bone	93
485	Reyesano	Bone	e-cao/etrá	e-cao	e + tʂ a o		5	Panoan	Bone	93
486	Cavinena	Bone	e-cao	e-cao	e + tʂ a o		5	Tacanan	Bone	93
487	EseEjja	Bone	e-sá	e-sá	e + s !á/a		5	Tacanan	Bone	93
488	Warayo	Bone	e-sá	e-sá	e + s !á/a		5	Tacanan	Bone	93
133	Proto-Pano-Takana	Breast	aṣu	aṣu	a s u		6		Breast	
134	Proto-Pano	Breast	ʂo	ʂo	ʂ o		6	Panoan	Breast	
135	Kakataibo	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
136	ShipiboKonibo	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
137	Kapanawa	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
138	Marubo	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
139	Chacobo	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
